Features,Label
"[-2.41070297e+02  1.77020508e+02  1.36138906e+01  1.97763672e+01
 -2.43507767e+00  2.22663021e+01 -6.80253625e-01  1.22953634e+01
 -1.57210898e+00  1.09478436e+01 -2.08947134e+00 -2.59362668e-01
 -1.43163359e+00  2.19282670e-02  3.64221897e+00  6.26190954e-03
  1.18726253e-02  1.40976588e+03  2.69007687e+03  3.60701060e+03
  2.90938224e-05  8.99206996e-02]",0
"[-2.35289474e+02  6.42275391e+01 -5.86283455e+01  1.87315216e+01
 -3.70465813e+01  1.34174910e+01 -3.32234883e+00  2.75203171e+01
  4.16098690e+00  1.49444675e+01 -4.16398668e+00  3.44182634e+00
 -1.06949317e+00  1.01574538e-01  4.06777751e+00  2.17776482e-03
  5.49789027e-02  4.47007463e+03  3.89425329e+03  1.03442489e+04
  3.37252440e-03  8.47432166e-02]",1
"[-2.38861618e+02  2.72348663e+02 -2.80348663e+01 -8.24572945e+00
  2.26488400e+01 -1.27208338e+01 -3.78023720e+00 -3.62058687e+00
 -1.05115919e+01 -1.18895423e+00 -2.69848013e+00 -5.71943665e+00
 -3.80250835e+00  2.83736889e-02  8.14716259e+00  7.79069937e-03
  1.53502849e-02  9.08545145e+02  1.04360202e+03  2.00867156e+03
  9.64456603e-07  1.48536652e-01]",0
"[-2.86568024e+02  1.18713638e+02 -2.95115738e+01  4.40918493e+00
 -1.85256310e+01  4.48365593e+00 -7.64488029e+00  1.57409315e+01
  1.67706852e+01  2.00018787e+01  3.32869554e+00 -6.20493317e+00
  4.04361677e+00  5.14478404e-02  5.03984997e+00  1.52105965e-03
  2.78489182e-02  2.53276909e+03  3.11632741e+03  7.20401771e+03
  9.69963221e-05  7.77993277e-02]",1
"[-4.37879364e+02  5.62978783e+01 -4.97586441e+01  1.02314596e+01
 -2.85262084e+00  1.47026014e+00  9.36845875e+00  1.76009130e+00
 -3.26987267e+00 -3.77954960e+00 -8.76189804e+00  9.21342015e-01
  2.96543002e+00  6.41734628e-02  1.75324914e+00  5.33885851e-04
  3.47281010e-02  2.22468097e+03  1.79391018e+03  4.62972156e+03
  3.62780482e-01  4.68132384e-02]",0
"[-3.63876495e+02  6.14070549e+01 -6.84901276e+01  1.23186607e+01
 -1.79460793e+01 -8.73158646e+00 -1.17592630e+01 -2.56860371e+01
 -1.94713917e+01  8.50495040e-01 -2.36618996e+00 -9.87099934e+00
 -3.60094452e+00  9.93385256e-02  5.30629267e+00  1.61946022e-03
  5.37708524e-02  3.13353728e+03  2.60114700e+03  6.76121012e+03
  1.03099027e-03  7.80608952e-02]",1
"[-5.48225952e+02  5.04649544e+01 -4.85017204e+01  1.94868507e+01
 -1.96734321e+00  5.31896734e+00  3.77720094e+00  5.92016983e+00
 -4.92938900e+00  3.77393460e+00 -1.81540048e+00  1.40870786e+00
 -1.87470281e+00  6.76341005e-02  4.37137253e-01  1.37575508e-04
  3.66089718e-02  2.06763034e+03  1.51755786e+03  4.02329154e+03
  4.70660627e-01  2.18962729e-02]",0
"[-2.27030594e+02  1.08180443e+02 -8.03450165e+01 -5.72077751e+00
 -3.48266525e+01 -2.10964775e+01 -2.27428761e+01 -1.09141216e+01
 -3.95282936e+01  1.71864910e+01  1.18420525e+01 -2.44079723e+01
 -7.03096008e+00  8.02406346e-02  1.48943872e+01  5.70146073e-03
  4.34134559e-02  2.92625327e+03  2.68507018e+03  6.19318479e+03
  1.48362393e-04  1.61346599e-01]",1
"[-2.73137268e+02  1.84346161e+02 -5.96786919e+01  4.08567696e+01
  6.85981131e+00  4.39098310e+00 -1.30538006e+01  6.89683342e+00
 -8.67550278e+00  6.61143255e+00  8.37008953e-01  6.13211823e+00
  8.91360092e+00  7.14049258e-02  1.03382887e+00  6.54122219e-04
  3.86469776e-02  2.01099767e+03  2.18977432e+03  4.48104630e+03
  9.40060709e-05  4.91131581e-02]",0
"[-3.29525726e+02  7.79927597e+01 -5.34501190e+01  1.01243801e+01
 -4.00719690e+00 -2.13340034e+01 -1.73719158e+01 -2.46357708e+01
 -2.13334770e+01  1.59602916e+00 -8.25667667e+00 -1.70793953e+01
 -9.52449417e+00  8.31101334e-02  7.91918126e+00  1.90995916e-03
  4.49483904e-02  2.71231239e+03  2.49629631e+03  6.08689570e+03
  6.05284411e-04  1.05949581e-01]",1
"[-3.70826569e+02  1.54761871e+02  4.22552719e+01 -1.20467591e+00
 -2.48330045e+00 -7.97135210e+00 -1.04719772e+01 -5.89245224e+00
 -4.10412693e+00 -6.48939943e+00 -9.53886223e+00 -9.16416359e+00
 -2.64315891e+00  2.61324514e-02  5.25867690e+00  7.86129453e-03
  1.41409069e-02  1.12622900e+03  1.66223326e+03  2.77380172e+03
  4.14997230e-05  6.78429827e-02]",0
"[-3.05306763e+02  5.90885620e+01 -9.69958344e+01  5.26827335e+00
 -2.64339199e+01 -8.26408100e+00 -1.60480690e+01 -1.96125832e+01
 -1.96724319e+01 -4.09448147e+00 -1.05363131e+01 -9.52077770e+00
  1.06064281e+01  1.07779998e-01  1.12972428e+01  3.03490746e-03
  5.83044616e-02  3.33110315e+03  2.58401666e+03  6.73654149e+03
  1.14085013e-03  1.38127029e-01]",1
"[-5.19727600e+02  6.56892090e+01 -3.40966463e+00  5.09123764e+01
 -3.73608398e+00  1.35301304e+01  7.46214533e+00  2.28583736e+01
  1.32969987e+00  1.65198994e+01  8.89749527e-02  3.50147462e+00
  7.02025700e+00  3.80911838e-02  6.74969205e-02  1.60232789e-04
  2.06266262e-02  2.45771492e+03  3.14055350e+03  7.27214114e+03
  2.06120774e-01  1.02212913e-02]",0
"[-2.74839691e+02  8.92968903e+01 -7.47171097e+01  5.85236359e+00
 -1.43809090e+01 -3.32627983e+01 -2.78172722e+01 -1.65448208e+01
 -4.25268440e+01  2.12417632e-01  2.87775159e+00 -2.59404488e+01
 -7.98136330e+00  6.79365490e-02  7.41915116e+00  3.89517750e-03
  3.67549444e-02  2.70954789e+03  2.51740198e+03  5.62310236e+03
  7.77545210e-05  1.21022277e-01]",1
"[-3.64622894e+02  1.60001083e+02 -1.01998386e+01 -4.92519760e+01
 -4.73389740e+01 -2.48920307e+01 -2.34708977e+01 -1.78684444e+01
 -7.99284267e+00 -1.50330276e+01 -1.06593428e+01  3.90944886e+00
  1.13429890e+01  4.03023883e-02  2.05122024e+00  3.79007828e-03
  2.18116379e-02  1.64868762e+03  2.14426077e+03  3.29111287e+03
  1.73164808e-04  5.01739495e-02]",0
"[-3.24368317e+02  8.24598083e+01 -1.49357100e+01  2.14551697e+01
 -2.17948132e+01  2.01021328e+01 -1.59296341e+01  8.59607029e+00
  1.11395054e+01  1.18353024e+01  9.40036583e+00 -1.41622806e+00
  1.49531698e+00  7.21046201e-02  3.50683739e+00  1.45300419e-03
  3.90258690e-02  3.57886387e+03  3.74614898e+03  8.82413411e+03
  5.91545773e-04  5.65297566e-02]",1
"[-4.66842468e+02  5.70028954e+01 -2.21528988e+01 -2.59989491e+01
 -1.86811199e+01 -5.56347322e+00 -1.29301224e+01 -5.42148066e+00
  2.67365132e-03 -1.83988023e+00 -1.53621066e+00 -2.28331280e+00
 -2.47451472e+00  7.12589681e-02  2.26631115e+00  3.48760200e-03
  3.85010304e-02  2.09090535e+03  2.24637101e+03  4.87260885e+03
  4.33496088e-01  2.88703199e-02]",0
"[-2.51239456e+02  8.24167099e+01 -3.98165436e+01  1.58773613e+01
 -2.62682896e+01  1.72413769e+01 -2.89116879e+01 -2.93854904e+00
  4.61798763e+00  7.04501820e+00 -1.53142881e+00  2.37285399e+00
 -1.14819517e+01  8.07793240e-02  5.75712333e+00  2.12448865e-03
  4.37162632e-02  3.66986874e+03  3.63502637e+03  9.01645647e+03
  5.15175518e-04  9.59523320e-02]",1
"[-4.10594055e+02  7.93539276e+01  2.59141231e+00 -1.34783182e+01
 -2.50839367e+01 -1.52249699e+01 -6.08673716e+00 -1.35295162e+01
 -1.04418278e+01 -2.41028190e+00 -3.95995855e+00 -5.40253687e+00
 -5.24060297e+00  5.17292228e-02  6.82770660e+00  8.22997980e-03
  2.80219674e-02  1.88439069e+03  2.24368323e+03  4.29220774e+03
  1.45397574e-01  6.85995743e-02]",0
"[-3.19520813e+02  1.05122643e+02 -4.49037743e+01  1.46598568e+01
 -2.66895752e+01  9.14625263e+00 -1.95818615e+01  1.61294615e+00
 -6.09377265e-01  4.85598326e+00  2.22200823e+00  8.46906245e-01
 -1.00210791e+01  6.21524100e-02  2.40136490e+00  1.49208749e-03
  3.36261997e-02  3.08089391e+03  3.22731324e+03  7.74432194e+03
  3.87554581e-04  5.86853251e-02]",1
"[-3.55482758e+02  7.85953522e+01 -8.00600815e+01 -3.51719933e+01
 -3.32441444e+01 -2.93617058e+01 -1.76385612e+01  2.74745464e+00
  1.41321974e+01  2.06035972e+00  4.08766365e+00  6.02548242e-01
 -8.43565083e+00  8.56094713e-02  4.42003414e+00  7.44696682e-03
  4.63284854e-02  2.82109018e+03  2.35129108e+03  5.75956779e+03
  3.90670169e-03  6.14843257e-02]",0
